date,CCAA_ISO,TEMP_PROM,TEMP_MIN,TEMP_MAX
2020-01-31,AN,13.8,3.8,24.5
2020-01-31,AR,10.8,0.1,21
2020-01-31,AS,12.9,3.5,21.6
2020-01-31,CB,12.4,0.2,22.2
2020-01-31,CE,17.3,13.1,21.5
2020-01-31,CL,10.2,0.6,18.1
2020-01-31,CM,10.4,1.3,18.1
2020-01-31,CN,19.4,1.4,27.7
2020-01-31,CT,11.8,0.3,22.8
2020-01-31,EX,12.4,6.5,17
2020-01-31,GA,13.8,7.9,20.5
2020-01-31,IB,13.9,4.4,21.2
2020-01-31,MC,14.9,4.9,23.4
2020-01-31,MD,10.6,2.4,16.2
2020-01-31,ML,19,15,23
2020-01-31,NC,12.5,3.4,22.8
2020-01-31,PV,14.2,4.1,22.7
2020-01-31,RI,11.2,2.8,19.3
2020-01-31,VC,15.2,2,24.4
2020-02-01,AN,15,5.6,27.2
2020-02-01,AR,11.5,-0.4,21.7
2020-02-01,AS,14.8,6.6,22.6
2020-02-01,CB,14.3,5,22.6
2020-02-01,CE,18.6,14.5,22.8
2020-02-01,CL,12,1.3,19.3
2020-02-01,CM,12,0.9,18
2020-02-01,CN,18.9,3.9,29.8
2020-02-01,CT,12,-0.1,23.4
2020-02-01,EX,13.6,7.6,18.5
2020-02-01,GA,14.3,9.2,20.6
2020-02-01,IB,13.5,2.8,22.6
2020-02-01,MC,16.1,6.9,25.5
2020-02-01,MD,12.2,4.2,19.3
2020-02-01,ML,17.4,13.2,21.6
2020-02-01,NC,13.2,3.5,20.8
2020-02-01,PV,15.6,8.2,22.8
2020-02-01,RI,12.8,6.2,19.9
2020-02-01,VC,16.3,2.4,27.3
2020-02-02,AN,15.7,3,25.2
2020-02-02,AR,12.4,-0.8,23.5
2020-02-02,AS,16.4,5.4,24.9
2020-02-02,CB,16,5.6,25.2
2020-02-02,CE,15.6,14.2,17
2020-02-02,CL,11.6,-1.4,20
2020-02-02,CM,11.2,-0.4,24.1
2020-02-02,CN,19.1,3,29.5
2020-02-02,CT,13.1,-1.5,25.3
2020-02-02,EX,13.8,5.8,23
2020-02-02,GA,15.4,5.1,23.5
2020-02-02,IB,14.9,4.2,25.8
2020-02-02,MC,16.2,4,24.8
2020-02-02,MD,9.9,2.1,18.1
2020-02-02,ML,16.5,12.4,20.6
2020-02-02,NC,13.8,3.2,24
2020-02-02,PV,17,8.1,25.6
2020-02-02,RI,13.4,3.9,21
2020-02-02,VC,16.5,0.4,26.3
2020-02-03,AN,16.5,-0.3,27.7
2020-02-03,AR,12.7,0.2,23.6
2020-02-03,AS,16.5,3.9,27
2020-02-03,CB,16,1,27.8
2020-02-03,CE,16.4,13.2,19.6
2020-02-03,CL,10.6,-2.4,22.2
2020-02-03,CM,12.1,0.6,26.7
2020-02-03,CN,20.3,3.7,30.4
2020-02-03,CT,14.4,-0.2,25.8
2020-02-03,EX,14.1,4.8,24.1
2020-02-03,GA,14.8,1,24.5
2020-02-03,IB,16,5,26.6
2020-02-03,MC,16.5,4.6,26.2
2020-02-03,MD,11.7,0.3,21.9
2020-02-03,ML,15,11.2,18.9
2020-02-03,NC,12.7,1.3,25.6
2020-02-03,PV,16.6,2.8,27.4
2020-02-03,RI,12.9,1.9,22.1
2020-02-03,VC,16.7,0.4,28.4
2020-02-04,AN,15.5,-0.1,27.6
2020-02-04,AR,10.2,-2.7,21.2
2020-02-04,AS,10.2,-0.1,17.4
2020-02-04,CB,9.4,0.2,17
2020-02-04,CE,16.7,12.4,21
2020-02-04,CL,8.3,-2.1,19.3
2020-02-04,CM,11.3,-2.5,26
2020-02-04,CN,20.6,4.5,30.8
2020-02-04,CT,12,-1.6,22.7
2020-02-04,EX,12.7,3.5,23.7
2020-02-04,GA,11.7,0.7,20.1
2020-02-04,IB,15.9,5,25.7
2020-02-04,MC,17.4,4.9,28.4
2020-02-04,MD,10.8,0.9,21.9
2020-02-04,ML,13.1,9.4,16.8
2020-02-04,NC,9.5,2.2,16.1
2020-02-04,PV,10.3,2.8,17.7
2020-02-04,RI,8.8,-2.6,17.3
2020-02-04,VC,17,-0.9,29.6
2020-02-05,AN,13.5,0.5,23.2
2020-02-05,AR,6.1,-3.7,17.5
2020-02-05,AS,8.1,-0.6,15.3
2020-02-05,CB,6.9,-2.4,14
2020-02-05,CE,13.2,11.1,15.3
2020-02-05,CL,5.6,-4.7,18.6
2020-02-05,CM,8.2,-3.9,20.5
2020-02-05,CN,19.7,6.5,29.5
2020-02-05,CT,7.9,-4.6,18.2
2020-02-05,EX,12.3,2,22.8
2020-02-05,GA,10.8,0.3,21.4
2020-02-05,IB,10.5,1.5,17.9
2020-02-05,MC,11.9,3,21.2
2020-02-05,MD,7.4,-2.4,16.5
2020-02-05,NC,6.4,-2.5,14
2020-02-05,PV,6.7,-1.2,13.6
2020-02-05,RI,5.8,-4.6,13.8
2020-02-05,VC,10.5,-1.2,17.5
2020-02-06,AN,12.7,0.6,21.7
2020-02-06,AR,6.5,-5.1,18.1
2020-02-06,AS,9.2,-1.1,19.6
2020-02-06,CB,8.3,-6,20.5
2020-02-06,CE,14.1,13.4,14.8
2020-02-06,CL,6.3,-6.3,18.4
2020-02-06,CM,8.1,-5.8,18.6
2020-02-06,CN,17.3,4.7,25.3
2020-02-06,CT,7.4,-6.8,19.7
2020-02-06,EX,10.6,-0.7,19.3
2020-02-06,GA,10.8,-1.5,20.1
2020-02-06,IB,10,-1.2,19
2020-02-06,MC,10.5,-0.2,17
2020-02-06,MD,6,-3.6,15
2020-02-06,ML,14.5,11.8,17.1
2020-02-06,NC,7.2,-4.5,19.4
2020-02-06,PV,8.6,-3.8,20.5
2020-02-06,RI,5.7,-3,14.7
2020-02-06,VC,9.4,-1,17.6
2020-02-07,AN,12.5,1.2,20.6
2020-02-07,AR,6.7,-4.4,15.9
2020-02-07,AS,10.4,-0.3,18.6
2020-02-07,CB,10.2,-1.9,20.2
2020-02-07,CE,14.7,13.3,16
2020-02-07,CL,6.7,-3.7,17.4
2020-02-07,CM,8.6,-3.3,17.1
2020-02-07,CN,17.2,1.5,25.9
2020-02-07,CT,7.7,-5.4,16.6
2020-02-07,EX,11.1,2.1,18.5
2020-02-07,GA,11.2,1.1,19.6
2020-02-07,IB,10.5,-1.6,18
2020-02-07,MC,10.6,0.2,18.5
2020-02-07,MD,7.2,-0.1,14.8
2020-02-07,ML,14.5,11.5,17.5
2020-02-07,NC,7.3,-3.7,18.2
2020-02-07,PV,11.1,-0.2,21.7
2020-02-07,RI,5.2,-1.4,11.9
2020-02-07,VC,10,-0.3,17.6
2020-02-08,AN,12.7,1,21.7
2020-02-08,AR,6,-5,15.1
2020-02-08,AS,8.9,-0.1,15.2
2020-02-08,CB,8.2,1.3,14.6
2020-02-08,CE,16.7,14.1,19.3
2020-02-08,CL,6.9,-3.5,18
2020-02-08,CM,8,-2.9,15.1
2020-02-08,CN,16.4,1.7,24.3
2020-02-08,CT,7.8,-5.1,17.5
2020-02-08,EX,11.1,3.7,17.6
2020-02-08,GA,9.9,2.8,16.7
2020-02-08,IB,10.9,1.1,18.7
2020-02-08,MC,11.5,1.2,19.6
2020-02-08,MD,6.3,-1.6,12.5
2020-02-08,ML,15.9,12.2,19.6
2020-02-08,NC,5.7,-2.9,14.4
